1,1
2,1
3,1
4,0
5,1
6,0
7,2
8,1
9,0
10,2
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,2
26,1
27,0
28,0
29,2
30,1
31,1
32,2
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,2
47,2
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,2
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,1
73,2
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,1
86,1
87,2
88,2
89,1
90,1
91,2
92,0
93,1
94,1
95,2
96,0
97,1
98,1
99,1
100,1
