1,0.82,0.53,0.81,0.77,0.12,0.53,0.81,0.47,0.12,0.53,0.83,0.11
2,0.72,0.53,0.81,0.71,0.1,0.51,0.74,0.77,0.72,0.93,0.83,0.11
3,0.68,0.53,0.81,0.77,0.12,0.52,0.81,0.37,0.12,0.53,0.83,0.11
4,0.62,0.53,0.83,0.77,0.12,0.53,0.63,0.27,0.72,0.63,0.83,0.11
5,0.21,0.53,0.81,0.77,0.12,0.56,0.81,0.77,0.12,0.53,0.83,0.11
6,0.12,0.53,0.81,0.77,0.11,0.53,0.22,0.17,0.92,0.43,0.83,0.11
7,0.22,0.53,0.82,0.76,0.12,0.53,0.29,0.67,0.12,0.53,0.83,0.11
8,0.12,0.53,0.81,0.77,0.14,0.58,0.71,0.37,0.12,0.73,0.83,0.11
9,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.83,0.11
10,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.83,0.11
11,0.82,0.53,0.81,0.77,0.12,0.53,0.81,0.47,0.12,0.53,0.83,0.11
12,0.72,0.53,0.81,0.71,0.1,0.51,0.74,0.77,0.72,0.93,0.83,0.11
13,0.68,0.53,0.81,0.77,0.12,0.52,0.81,0.37,0.12,0.53,0.83,0.11
14,0.62,0.53,0.83,0.77,0.12,0.53,0.63,0.27,0.72,0.63,0.83,0.11
15,0.21,0.53,0.81,0.77,0.12,0.56,0.81,0.77,0.12,0.53,0.83,0.11
16,0.12,0.53,0.81,0.77,0.11,0.53,0.22,0.17,0.92,0.43,0.83,0.11
17,0.22,0.53,0.82,0.76,0.12,0.53,0.29,0.67,0.12,0.53,0.83,0.11
18,0.12,0.53,0.81,0.77,0.14,0.58,0.71,0.37,0.12,0.73,0.83,0.11
19,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.83,0.11
20,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.83,0.11
21,0.82,0.53,0.81,0.77,0.12,0.53,0.81,0.47,0.12,0.53,0.83,0.11
22,0.72,0.53,0.81,0.71,0.1,0.51,0.74,0.77,0.72,0.93,0.75,0.11
23,0.68,0.53,0.81,0.77,0.12,0.52,0.81,0.37,0.12,0.53,0.75,0.11
24,0.62,0.53,0.83,0.77,0.12,0.53,0.63,0.27,0.72,0.63,0.75,0.11
25,0.21,0.53,0.81,0.77,0.12,0.56,0.81,0.77,0.12,0.53,0.75,0.11
26,0.12,0.53,0.81,0.77,0.11,0.53,0.22,0.17,0.92,0.43,0.75,0.11
27,0.22,0.53,0.82,0.76,0.12,0.53,0.29,0.67,0.12,0.53,0.75,0.11
28,0.12,0.53,0.81,0.77,0.14,0.58,0.71,0.37,0.12,0.73,0.75,0.11
29,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.75,0.11
30,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.75,0.11
31,0.82,0.53,0.81,0.77,0.12,0.53,0.81,0.47,0.12,0.53,0.75,0.11
32,0.72,0.53,0.81,0.71,0.1,0.51,0.74,0.77,0.72,0.93,0.75,0.11
33,0.68,0.53,0.81,0.77,0.12,0.52,0.81,0.37,0.12,0.53,0.75,0.11
34,0.62,0.53,0.83,0.77,0.12,0.53,0.63,0.27,0.72,0.63,0.75,0.11
35,0.21,0.53,0.81,0.77,0.12,0.56,0.81,0.77,0.12,0.53,0.75,0.11
36,0.12,0.53,0.81,0.77,0.11,0.53,0.22,0.17,0.92,0.43,0.75,0.11
37,0.22,0.53,0.82,0.76,0.12,0.53,0.29,0.67,0.12,0.53,0.75,0.11
38,0.12,0.53,0.81,0.77,0.14,0.58,0.71,0.37,0.12,0.73,0.64,0.11
39,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.64,0.11
40,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.64,0.11
41,0.82,0.53,0.81,0.77,0.12,0.53,0.81,0.47,0.12,0.53,0.64,0.11
42,0.72,0.53,0.81,0.71,0.1,0.51,0.74,0.77,0.72,0.93,0.64,0.11
43,0.68,0.53,0.81,0.77,0.12,0.52,0.81,0.37,0.12,0.53,0.64,0.11
44,0.62,0.53,0.83,0.77,0.12,0.53,0.63,0.27,0.72,0.63,0.64,0.11
45,0.21,0.53,0.81,0.77,0.12,0.56,0.81,0.77,0.12,0.53,0.64,0.11
46,0.12,0.53,0.81,0.77,0.11,0.53,0.22,0.17,0.92,0.43,0.64,0.11
47,0.22,0.53,0.82,0.76,0.12,0.53,0.29,0.67,0.12,0.53,0.64,0.11
48,0.12,0.53,0.81,0.77,0.14,0.58,0.71,0.37,0.12,0.73,0.64,0.11
49,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.64,0.11
50,0.92,0.53,0.81,0.77,0.12,0.53,0.81,0.87,0.12,0.83,0.64,0.11
